nb,lon,lat
0,-122.405226403,37.7851164227
1,-122.415989136,37.7617267589
2,-122.418732681,37.7876448377
3,-122.486474743,37.7585163933
4,-122.40404379,37.727736723
5,-122.462125396,37.7204977751
